file,line,url
..\..\13_eclaireur_public\back\config.yaml,13,https://www.collectivites-locales.gouv.fr/files/Accueil/DESL/2025/epcicom2025-2.xlsx
..\..\13_eclaireur_public\back\config.yaml,34,https://www.economie.gouv.fr/files/files/directions_services/daj/marches_publics/oeap/recensement/cpv_2008_fr.xls
..\..\13_eclaireur_public\back\config.yaml,44,https://schema.data.gouv.fr/schemas/scdl/subventions/2.1.0/schema.json
..\..\13_eclaireur_public\back\config.yaml,49,https://schema.data.gouv.fr/schemas/139bercy/format-commande-publique/1.5.0/marches.json
..\..\13_eclaireur_public\back\config.yaml,85,https://object.files.data.gouv.fr/data-pipeline-open/siren/stock/StockUniteLegale_utf8.parquet
..\..\13_eclaireur_public\back\config.yaml,87,https://www.insee.fr/fr/statistiques/fichier/2120875/naf2008_liste_n1.xls
..\..\13_eclaireur_public\back\config.yaml,88,https://www.insee.fr/fr/statistiques/fichier/2120875/naf2008_liste_n2.xls
..\..\13_eclaireur_public\back\config.yaml,89,https://www.insee.fr/fr/statistiques/fichier/2120875/naf2008_liste_n3.xls
..\..\13_eclaireur_public\back\config.yaml,90,https://www.insee.fr/fr/statistiques/fichier/2120875/naf2008_liste_n4.xls
..\..\13_eclaireur_public\back\config.yaml,91,https://www.insee.fr/fr/statistiques/fichier/2120875/naf2008_liste_n5.xls
..\..\13_eclaireur_public\back\config.yaml,92,https://www.insee.fr/fr/statistiques/fichier/2028129/cj_septembre_2022.xls
..\..\13_eclaireur_public\back\config.yaml,100,https://www.data.gouv.fr/fr/datasets/r/247995fb-3b98-48fd-95a4-2607c8a1de74
..\..\13_eclaireur_public\back\scripts\datasets\communities_contacts.py,99,https://www.data.gouv.fr/fr/datasets/r/{resource_id}
..\..\13_eclaireur_public\back\scripts\datasets\datagouv_catalog.py,78,https://www.data.gouv.fr/fr/datasets/r/
..\..\13_eclaireur_public\back\scripts\datasets\datagouv_catalog.py,105,https://www.data.gouv.fr/api/1/datasets/catalogue-des-donnees-de-data-gouv-fr/
..\..\13_eclaireur_public\back\scripts\datasets\elected_officials.py,65,https://www.data.gouv.fr/fr/datasets/r/
..\..\13_eclaireur_public\back\scripts\utils\datagouv_api.py,20,https://www.data.gouv.fr/fr/datasets/r/{file_id}
..\..\13_eclaireur_public\back\scripts\utils\datagouv_api.py,33,https://www.data.gouv.fr/api/1/datasets/{dataset_id}/
..\..\13_eclaireur_public\back\scripts\utils\datagouv_api.py,83,https://www.data.gouv.fr/api/1/datasets/
..\..\13_eclaireur_public\back\scripts\utils\geolocator.py,80,https://geo.api.gouv.fr/{geo_type}?fields=centre&geometry=centre
..\..\13_eclaireur_public\back\scripts\utils\geolocator.py,82,https://object.data.gouv.fr/contours-administratifs/2025/geojson/{geo_type}-1000m.geojson
